C;ACTIVE;NAME;PARENT_CATEGORY;ROOT_CATEGORY;DESCRIPTION;META_TITLE;META_KEYWORDS;META_DESCRIPTION;URL_REWRITTEN;IMAGE_URL;DATE_ADD;DATE_UPD
2570;1;Mode Accessoires;Accueil;0;;;;;mode-accessoires;;25/05/2017 16:43;20/09/2021 14:01
2573;1;Vêtements et Chaussures;Mode Accessoires;0;;;;;vetements-et-chaussures;;25/05/2017 16:42;20/09/2021 14:01
2575;1;Sous-vêtements;Vêtements et Chaussures;0;;;;;sous-vetements;;25/05/2017 16:42;20/09/2021 14:01
2577;1;Pyjamas et couvertures avec manches;Vêtements et Chaussures;0;;;;;pyjamas-et-couvertures-avec-manches;;25/05/2017 16:42;20/09/2021 14:01
2580;1;Autres vêtements;Vêtements et Chaussures;0;;;;;autres-vetements;;25/05/2017 16:42;20/09/2021 14:01
2582;1;Autres accessoires pour les chaussures;Vêtements et Chaussures;0;;;;;autres-accessoires-pour-les-chaussures;;25/05/2017 16:42;20/09/2021 14:01
2584;1;Accessoires;Mode Accessoires;0;;;;;accessoires;;25/05/2017 16:42;20/09/2021 14:01
2586;1;Lunettes de soleil;Mode Accessoires;0;;;;;lunettes-de-soleil;;25/05/2017 16:42;20/09/2021 14:01
2588;1;Sacs à main et porte-monnaies;Accessoires;0;;;;;sacs-a-main-et-porte-monnaies;;25/05/2017 16:42;20/09/2021 14:01
2590;1;Parapluies;Accessoires;0;;;;;parapluies;;25/05/2017 16:42;20/09/2021 14:01
2591;1;Bonnets et écharpes;Accessoires;0;;;;;bonnets-et-echarpes;;25/05/2017 16:42;20/09/2021 14:01
2595;1;Perles de Verre;Bijoux;0;;;;;perles-de-verre;;25/05/2017 16:42;20/09/2021 14:01
2598;1;Bijoux;Mode Accessoires;0;;;;;bijoux;;25/05/2017 16:42;20/09/2021 14:01
2600;1;Bagues;Bijoux;0;;;;;bagues;;25/05/2017 16:42;20/09/2021 14:01
2602;1;Bracelets;Bijoux;0;;;;;bracelets;;25/05/2017 16:42;20/09/2021 14:01
2604;1;Colliers;Bijoux;0;;;;;colliers;;25/05/2017 16:42;20/09/2021 14:01
2606;1;Autres accessoires;Bijoux;0;;;;;autres-accessoires;;25/05/2017 16:42;20/09/2021 14:01
2635;1;Montres-bracelets;Mode Accessoires;0;;;;;montres-bracelets;;25/05/2017 16:42;20/09/2021 14:01
2661;1;Boucles d'oreilles;Bijoux;0;;;;;boucles-d-oreilles;;25/05/2017 16:42;20/09/2021 14:01
2899;1;Porte Clés;Accessoires;0;;;;;porte-cles;;25/05/2017 16:42;20/09/2021 14:01
2954;1;Broches et boutons de manchette;Bijoux;0;;;;;broches-et-boutons-de-manchette;;25/05/2017 16:42;20/09/2021 14:01
2962;1;Bikinis et maillots de bain;Vêtements et Chaussures;0;;;;;bikinis-et-maillots-de-bain;;10/11/2017 08:06;20/09/2021 14:01
2963;1;Chemises;Vêtements et Chaussures;0;;;;;chemises;;28/08/2019 09:45;20/09/2021 14:01
2964;1;T-shirt;Vêtements et Chaussures;0;;;;;t-shirt;;18/01/2018 10:14;20/09/2021 14:01
2965;1;Gilet;Vêtements et Chaussures;0;;;;;gilet;;28/06/2021 14:00;20/09/2021 14:01
2966;1;Casquettes;Accessoires;0;;;;;casquettes;;10/11/2017 08:06;20/09/2021 14:01
2967;1;Pulls;Vêtements et Chaussures;0;;;;;pulls;;08/07/2021 07:00;20/09/2021 14:01
2969;1;Polos;Vêtements et Chaussures;0;;;;;polos;;11/01/2021 15:03;20/09/2021 14:01
2970;1;Sweat-shirts;Vêtements et Chaussures;0;;;;;sweat-shirts;;19/08/2019 12:15;20/09/2021 14:01
2971;1;Robes;Vêtements et Chaussures;0;;;;;robes;;18/01/2018 10:16;20/09/2021 14:01
2972;1;Baskets;Vêtements et Chaussures;0;;;;;baskets;;17/01/2018 09:06;20/09/2021 14:01
2973;1;Chaussures de sport;Vêtements et Chaussures;0;;;;;chaussures-de-sport;;10/11/2017 08:05;20/09/2021 14:01
2974;1;Chaussons de maison;Vêtements et Chaussures;0;;;;;chaussons-de-maison;;10/11/2017 08:06;20/09/2021 14:01
2975;1;Tongs et sabots;Vêtements et Chaussures;0;;;;;tongs-et-sabots;;10/11/2017 08:07;20/09/2021 14:01
2976;1;Chaussures;Vêtements et Chaussures;0;;;;;chaussures;;17/01/2018 09:02;20/09/2021 14:01
2977;1;Bottes d'eau;Vêtements et Chaussures;0;;;;;bottes-d-eau;;10/11/2017 08:05;20/09/2021 14:01
2978;1;Semelles;Vêtements et Chaussures;0;;;;;semelles;;10/11/2017 08:06;20/09/2021 14:01
2979;1;Ceintures;Accessoires;0;;;;;ceintures;;11/01/2018 09:57;20/09/2021 14:01
2980;1;Pantalons;Vêtements et Chaussures;0;;;;;vetements-et-chaussures-pantalons;;08/07/2021 07:00;10/03/2022 07:45
2982;1;Jupes;Vêtements et Chaussures;0;;;;;jupes;;18/01/2018 10:15;20/09/2021 14:01
2984;1;Manteaux;Vêtements et Chaussures;0;;;;;manteaux;;18/01/2018 10:13;20/09/2021 14:01
2985;1;Vestes;Vêtements et Chaussures;0;;;;;vestes;;18/01/2018 10:14;20/09/2021 14:01
2986;1;Chemisiers;Vêtements et Chaussures;0;;;;;chemisiers;;18/01/2018 10:14;20/09/2021 14:01
2987;1;Maillots de bain por homme;Vêtements et Chaussures;0;;;;;maillots-de-bain-por-homme;;09/07/2021 14:00;20/09/2021 14:01
2994;1;Montres homme;Montres-bracelets;0;;;;;montres-homme;;10/11/2017 08:06;20/09/2021 14:01
2995;1;Montres femme;Montres-bracelets;0;;;;;montres-femme;;10/11/2017 08:06;20/09/2021 14:01
2996;1;Montres unisexe;Montres-bracelets;0;;;;;montres-unisexe;;10/11/2017 08:06;20/09/2021 14:01
