﻿ID;ACTIVE;NAME;CATEGORIES;PRICE_TAX_EXCLUDE;TAX_RULE_ID;WHOLESALE_PRICE;ON_SALE;DISCOUNT_AMOUNT;DISCOUNT_PERCENT;DISCOUNT_FROM;DISCOUNT_TO;bb_REFERENCE;SUPPLIER_REFERENCE;SUPPLIER;MANUFACTER;EAN13;UPC;ECOTAX;WIDTH;HEIGHT;DEPTH;WEIGHT;QUANTITY;MINIMAL_QUANTITY;VISIBILITY;ADDITIONAL_SHIPPING_COST;UNITY;UNIT_PRICE;SHORT_DESCRIPTION;DESCRIPTION;TAGS;META_TITLE;META_KEYWORDS;META_DESCRIPTION;URL_REWRITTEN;TEXT_WHEN_IN_STOCK;TEXT_WHEN_BACKODER_ALLOWED;AVAILABLE_FOR_ORDER;PRODUCT_AVAILABLE_DATE;PRODUCT_CREATION_DATE;PRODUCT_UPDATE_DATE;SHOW_PRICE;IMAGES_URL;DELETE_EXISTING_IMAGES;FEATURE;AVAILABLE_ONLINE_ONLY;CONDITION;CUSTOMIZABLE;UPLOADABLE_FILES;TEXT_FIELDS;OUT_OF_STOCK;ID_NAME_OF_SHOP;ADVANCED_STOCK_MANAGEMENT;DEPENDS_ON_STOCK;WAREHOUSE
91445;1;"Montre Femme Guess W0650L1 (Ø 28 mm)";2570,2635,2995;103.3;1;84.71;;;;;;S0322240;;;1818;0091661452086;;0;10;10;10;0.3;1;1;both;;;;"Si vous aimez suivre les dernières tendances en matière de mode et accessoires, achetez Montre Femme Guess W0650L1 (Ø 28 mm) au meilleur prix.Matériau du bracelet: AcierVerre: MinéralCouleur du...";"Si vous aimez suivre les dernières tendances en matière de mode et accessoires, achetez <b>Montre Femme Guess W0650L1 (Ø 28 mm)</b> au meilleur prix.<br><ul><li>Matériau du bracelet: Acier</li><li>Verre: Minéral</li><li>Couleur du cadran: Argenté</li><li>Imperméabilité: Non</li><li>Diamètre du boîtier: Ø 28 mm</li><li>Inclut: Le coffret de la marque est inclus</li><li>Type de mouvement: Quartz</li><li>Couleur du boîtier: Argenté</li><li>Couleur du bracelet: Argenté</li><li>Matériau du boîtier de la montre: Acier inoxydable</li></ul>";;;;;montre-femme-guess-w0650l1-o-28-mm;;;1;;"2022-09-09 12:17:13";"2022-09-09 12:17:13";1;https://cdnbigbuy.com/images/0091661452086_0_P00.jpg,https://cdnbigbuy.com/images/18620_mandatory-watch0.jpg;0;;0;new;0;0;0;0;0;0;0;0
126283;1;"Montre Homme Chronotech CT7704M-13 (Ø 45 mm)";2570,2635,2994;23.21;1;18.86;;;;;;S0338671;;;1801;8033100854596;;0;10;10;10;0.3;6;1;both;;;;"Si vous aimez suivre les dernières tendances en matière de mode et accessoires, achetez Montre Homme Chronotech CT7704M-13 (Ø 45 mm) au meilleur prix.Matériau du bracelet: CuirCouleur du...";"Si vous aimez suivre les dernières tendances en matière de mode et accessoires, achetez <b>Montre Homme Chronotech CT7704M-13 (Ø 45 mm)</b> au meilleur prix.<br><ul><li>Matériau du bracelet: Cuir</li><li>Couleur du bracelet: Bleu</li><li>Type de fermeture: Boucle</li><li>Imperméabilité: 5 atm</li><li>Verre: Minéral</li><li>Couleur du cadran: Bleu</li><li>Diamètre du boîtier: Ø 45 mm</li><li>Inclut: Le coffret de la marque est inclus</li><li>Type de mouvement: Quartz</li><li>Couleur du boîtier: Argenté</li><li>Matériau du boîtier de la montre: <ul><li>Acier</li><li>Acier inoxydable</li></ul></li></ul>";;;;;montre-homme-chronotech-ct7704m-13-o-45-mm;;;1;;"2020-03-23 13:06:20";"2022-07-15 22:32:16";1;https://cdnbigbuy.com/images/8033100854596_00_P00.jpg,https://cdnbigbuy.com/images/35062_mandatory-watch0.jpg,https://cdnbigbuy.com/images/8033100854596_0_P10.jpg;0;;0;new;0;0;0;0;0;0;0;0
151832;1;"Montre Femme Laura Biagiotti LB0055L-02 (Ø 33 mm)";2570,2635,2995;26.19;1;22.22;;;;;;S0341967;;;1399;8431777793659;;0;10;10;10;0.3;83;1;both;;;;"Si vous aimez suivre les dernières tendances en matière de mode et accessoires, achetez Montre Femme Laura Biagiotti LB0055L-02 (Ø 33 mm) au meilleur prix.Type de fermeture: PapillonMatériau du...";"Si vous aimez suivre les dernières tendances en matière de mode et accessoires, achetez <b>Montre Femme Laura Biagiotti LB0055L-02 (Ø 33 mm)</b> au meilleur prix.<br><ul><li>Type de fermeture: Papillon</li><li>Matériau du bracelet: Acier</li><li>Verre: Minéral</li><li>Diamètre du boîtier: Ø 33 mm</li><li>Couleur du cadran: Rouge</li><li>Imperméabilité: Non</li><li>Inclut: Le coffret de la marque est inclus</li><li>Type de mouvement: Quartz</li><li>Couleur du boîtier: Argenté</li><li>Couleur du bracelet: Argenté</li><li>Matériau du boîtier de la montre: <ul><li>Acier</li><li>Acier inoxydable</li></ul></li></ul>";;;;;montre-femme-laura-biagiotti-lb0055l-02-o-33-mm;;;1;;"2020-10-29 10:29:25";"2022-07-15 18:04:39";1;https://cdnbigbuy.com/images/8431777793659_S0341967_P00.jpg,https://cdnbigbuy.com/images/38326_mandatory-watch0.jpg,https://cdnbigbuy.com/images/8431777793659_S0341967_P10.jpg;0;;0;new;0;0;0;0;0;0;0;0
234375;1;"Lunettes de soleil Femme Carolina Herrera SHE129520AGG (ø 52 mm)";2570,2586,2999;46.85;1;37.95;;;;;;S0358028;;;1313;0190605129180;;0;10;10;10;0.3;23;1;both;;;;"Si vous aimez avoir les dernières nouveautés en mode et accessoires et si les accessoires sont indispensables pour l'ensemble de votre image, ne passez pas à côté de Lunettes de soleil Femme...";"Si vous aimez avoir les dernières nouveautés en <a href=""##CAT_2999##""><b>mode et accessoires</b></a> et si les accessoires sont indispensables pour l'ensemble de votre image, ne passez pas à côté de <b>Lunettes de soleil Femme Carolina Herrera SHE129520AGG (ø 52 mm)</b> ! Bénéficiez des meilleures marques de <a href=""##CAT_2999##""><b>lunettes de soleil</b></a>.<br><ul><li>Matériel: Métal</li><li>Couleur: Havana</li><li>Pont: 23 mm</li><li>Branches: 140 mm</li><li>Filtre solaire: catégorie 3</li><li>Paire de lunettes: ø 52 mm</li><li>Filtre: Protègent contre 100 % des rayons UV (UV400)</li><li>Inclut: Le coffret de la marque est inclus</li><li>Genre: Femme</li><li>Type: Lunettes de soleil Femme</li></ul>";;;;;lunettes-de-soleil-femme-carolina-herrera-she129520agg-o-52-mm;;;1;;"2021-07-27 15:39:25";"2022-08-22 13:26:03";1;https://cdnbigbuy.com/images/0190605129180_S0358028_P0-v_10.jpg;0;;0;new;0;0;0;0;0;0;0;0
333267;1;"Pantalons Pierre Cardin   (38) (Reconditionné C)";2570,2573,2980;16.97;1;11.37;;;;;;S3529573;;;1849;4063314311268;;0;33.8;20.6;5.8;0.22;1;1;both;;;;"Si vous envisagez de renouveler votre garde-robe, achetez Pantalons Pierre Cardin   (38) (Reconditionné C) et d’autresproduits Pierre Cardin! La meilleure qualité au meilleur prix est à votre...";"Si vous envisagez de renouveler votre garde-robe, achetez <b>Pantalons Pierre Cardin   (38) (Reconditionné C)</b> et d’autres<b>produits Pierre Cardin</b>! La meilleure qualité au meilleur prix est à votre portée!<br><ul><li>Taille: Taille 38</li><li>Design: Homme</li></ul>RECONDITIONNÉS: Il s´agit de produits renvoyés pendant la période de désistement ou d´exposition qui ont pu être utilisés pour effectuer des tests  certains se vendent avec l´emballage en mauvaise état ou avec l´emballage original visiblement ouvert. Tous les produits ont subi une révision, ils contiennent la garantie officielle de la marque et fonctionnent parfaitement. Classification selon leur état:<br/> <ul> <li>A+/ Impeccable : produits en état impeccable dont l´emballage original peut se trouver ouvert ou a été remplacé par un autre en parfaites conditions.</li> <li>A/ Comme neuf : produits en parfait état comme neuf dont l´emballage original peut se trouver ouvert ou légèrement détérioré, ou a été remplacé par un autre.</li> <li>B/ Très bien : produits en très bon état, avec de possibles défauts esthétiques légers, qui fonctionnent parfaitement et dont l´emballage original peut se trouver ouvert ou légèrement détérioré.</li> <li>C/ Bon état : produits en bon état, avec de possibles défauts esthétiques, qui fonctionnent parfaitement et dont l´emballage original peut se trouver ouvert ou légèrement détérioré.</li> <li>D/ Correct : produits en correct état, avec de possibles défauts esthétiques ou manque d´un accessoires quelconques, qui fonctionnent parfaitement et dont l´emballage original peut se trouver ouvert ou légèrement détérioré.</li> </ul>";;;;;pantalons-pierre-cardin-38-reconditionne-c;;;1;;"2022-03-17 14:14:56";"2022-08-31 18:21:30";1;https://cdnbigbuy.com/images/B086SNDJKB_R02.jpg;0;;0;refurbished_c;0;0;0;0;0;0;0;0
148125;1;"Porte-clés ouvre-porte hygiénique 146690 Transparent";2570,2584,2899;0.19;1;0.11;;;;;;S1419867;;;2253;4899888265757;;0;0.4;7.2;3.1;0.004;136740;1;both;;;;"Si vous envisagez de renouveler votre garde-robe, achetez Porte-clés ouvre-porte hygiénique 146690 Transparent et d’autresproduits ! La meilleure qualité au meilleur prix est à votre...";"Si vous envisagez de renouveler votre garde-robe, achetez <b>Porte-clés ouvre-porte hygiénique 146690 Transparent</b> et d’autres<b>produits </b>! La meilleure qualité au meilleur prix est à votre portée!<br><ul><li>Couleur: Transparent</li><li>Matériel: Acrylique</li></ul>";;;;;porte-cles-ouvre-porte-hygienique-146690-transparent;;;1;;"2022-07-05 11:36:06";"2022-09-01 18:16:24";1;https://cdnbigbuy.com/images/4899888265757_S1419868_P00.jpg;0;;0;new;0;0;0;0;0;0;0;0
297168;1;"Chaussettes Mickey Mouse Adulte Gris";2570,2573,2575;3.85;1;2.89;;;;;;S0727225;;;1133;8427934515509;;0;9.5;3.6;23;0.1;3;1;both;;;;"Si vous envisagez de renouveler votre garde-robe, achetez Chaussettes Mickey Mouse Adulte Gris et d’autresproduits Mickey Mouse! La meilleure qualité au meilleur prix est à votre portée!Couleur:...";"Si vous envisagez de renouveler votre garde-robe, achetez <b>Chaussettes Mickey Mouse Adulte Gris</b> et d’autres<b>produits Mickey Mouse</b>! La meilleure qualité au meilleur prix est à votre portée!<br><ul><li>Couleur: Gris</li><li>Taille: Adulte</li><li>Composition: <ul><li>12 % Polyamide</li><li>2 % Élasthanne</li><li>86 % Coton</li></ul></li><li>Type: Chaussettes</li><li>Genre: Unisexe</li><li>Style: Casual</li></ul>";;;;;chaussettes-mickey-mouse-adulte-gris;;;1;;"2021-12-07 09:26:52";"2022-08-29 09:18:04";1;https://cdnbigbuy.com/images/8427934515172_S0727186_P001.jpg,https://cdnbigbuy.com/images/8427934515172_S0727186_P01.jpg;0;;0;new;0;0;0;0;0;0;0;0
380557;1;"Tongs pour Femmes Havaianas Flat Duo Jaune";2570,2573,2975;13.14;1;10.64;;;;;;S6452695;;;3509;7909690883753;;0;25;25;10;0.2;2;1;both;;;;"Si vous envisagez de renouveler votre garde-robe, achetez Tongs pour Femmes Havaianas Flat Duo Jaune et d’autresproduits Havaianas! La meilleure qualité au meilleur prix est à votre...";"Si vous envisagez de renouveler votre garde-robe, achetez <b>Tongs pour Femmes Havaianas Flat Duo Jaune</b> et d’autres<b>produits Havaianas</b>! La meilleure qualité au meilleur prix est à votre portée!<br><ul><li>Couleur: Jaune</li><li>Genre: <ul><li>Femme</li><li>Pour les filles</li></ul></li><li>Âge recommandé: Adultes</li></ul>";;;;;tongs-pour-femmes-havaianas-flat-duo-jaune;;;1;;"2022-08-02 12:27:50";"2022-08-31 17:37:06";1;https://cdnbigbuy.com/images/7909690883753_S6452089_P02.jpg,https://cdnbigbuy.com/images/52637_tallas-calzado2.jpg,https://cdnbigbuy.com/images/7909690883784_S6452092_P02.jpg,https://cdnbigbuy.com/images/7909690883777_S6452091_P02.jpg,https://cdnbigbuy.com/images/7909690883760_S6452090_P02.jpg;0;;0;new;0;0;0;0;0;0;0;0
213506;1;"Bague Femme Folli Follie 3R15T002RX";2570,2598,2600;15.06;1;12.2;;;;;;S0356833;;;1816;5205340454611;;0;10;10;10;0.3;14;1;both;;;;"Nous vons présentons Bague Femme Folli Follie 3R15T002RX et une vaste gamme de bagues, bracelets, boucles d'oreilles et pendentifs etc. à bon prix. Découvrez d'exclusifs et élégants articles de...";"Nous vons présentons <b>Bague Femme Folli Follie 3R15T002RX</b> et une vaste gamme de bagues, bracelets, boucles d'oreilles et pendentifs etc. à bon prix. Découvrez d'exclusifs et élégants articles de bijouterie et de bijouterie fantaisie pour tous les goûts.<br><ul><li>Matériel: Acier inoxydable</li></ul>";;;;;bague-femme-folli-follie-3r15t002rx;;;1;;"2021-06-07 15:13:27";"2022-03-15 12:25:31";1;https://cdnbigbuy.com/images/5205340454611_S0355292_P0.jpg,https://cdnbigbuy.com/images/53208_mandatory-ring.jpg;0;;0;new;0;0;0;0;0;0;0;0
307879;1;"Baskets Adidas Court Bold 15823 Marron";2570,2573,2973;38.01;1;31.17;;;;;;S6434697;;;1278;4064037458193;;0;35;11;20;1;0;1;both;;;;"Restez en forme et découvrez les dernières nouveautés du secteu pour faire du sport avec les meilleures garanties ! Achetez Baskets Adidas Court Bold 15823 Marron au meilleur prix et profitez...";"Restez en forme et découvrez les dernières nouveautés du secteu pour faire du sport avec les meilleures garanties ! Achetez <b>Baskets Adidas Court Bold 15823 Marron</b> au meilleur prix et profitez d'une vie saine !<br><ul><li>Couleur: Marron</li><li>Genre: Femme</li><li>Âge recommandé: Adultes</li><li>Design: Femme</li></ul>";;;;;baskets-adidas-court-bold-15823-marron;;;1;;"2022-01-10 13:02:46";"2022-09-08 09:37:03";1;https://cdnbigbuy.com/images/4064037458193_S6433116_P00.jpg,https://cdnbigbuy.com/images/4064037458186_S6433120_P00.jpg,https://cdnbigbuy.com/images/4064037458148_S6433119_P00.jpg,https://cdnbigbuy.com/images/4064037458094_S6433118_P00.jpg,https://cdnbigbuy.com/images/4064037458087_S6433117_P00.jpg;0;;0;new;0;0;0;0;0;0;0;0
